Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
11001,2472,1002,49,38,9999,0,1502,0,3685,5534,5,4,1862,525,1353,1,0,1,48,72,50,0,6,24,0,0,1440,1584,17220,2456,309,40,50,36,42,39,30,40,38,94,91,0,0,8962,1099,0,768,212,981,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,101,0,0,0
12001,2472,1002,49,38,9999,0,1500,0,3680,5520,5,4,1478,525,2000,1,0,1,42,72,52,0,1,34,0,0,1440,1584,16109,2465,316,39,47,36,39,44,39,25,35,94,89,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,101,0,0,0
13001,2472,1002,49,38,9999,0,1478,0,3680,5439,5,4,1478,525,2000,1,0,1,48,72,50,0,0,34,0,0,1440,1584,15906,2471,314,47,42,38,39,42,47,40,38,90,97,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,101,0,0,0
14001,2472,1002,49,38,9999,0,1525,0,3680,5612,5,4,1478,525,2000,1,0,1,45,72,52,0,3,25,0,0,1440,1584,15430,2456,314,47,42,44,44,38,47,45,47,94,91,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,101,0,0,0
15001,2472,1002,49,38,9999,0,1505,0,3677,5533,5,4,1478,525,2000,1,0,1,49,72,49,0,3,31,0,0,1440,1584,11652,2456,317,60,47,44,50,55,57,42,60,95,94,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,101,0,0,0
16001,2472,1002,49,38,9999,0,1542,0,3677,5669,5,4,1862,525,2000,1,0,1,70,72,51,0,8,19,0,0,1440,1584,11404,2356,306,57,44,44,50,44,56,55,57,95,95,0,0,8962,1099,0,768,212,981,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,101,0,0,0
17002,2472,1002,49,38,9999,0,1569,0,3677,5769,5,4,1478,525,2000,1,0,1,54,72,52,0,55,9,0,0,1440,1584,10755,2462,311,55,44,44,44,47,47,55,44,94,93,0,0,8962,1099,0,768,212,981,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,101,0,0,0
18002,2472,1002,49,38,9999,0,1573,0,3677,5783,5,4,1574,525,2000,1,0,1,70,72,52,0,8,18,0,0,1440,1584,13934,2373,312,50,42,45,47,42,42,50,44,90,93,0,0,8962,1099,0,768,212,981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,101,0,0,0
19022,2659,922,49,38,9999,0,1458,0,3677,5361,5,4,1478,525,2000,1,0,1,52,72,51,0,44,12,0,0,1440,1584,15000,2414,313,47,39,45,44,42,47,47,44,95,96,0,0,8875,1020,0,688,213,902,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
20001,2659,922,49,38,9999,0,1500,0,3682,5523,5,4,1862,525,2000,1,0,1,48,72,51,0,1,28,0,0,1440,1584,15944,2428,312,42,38,39,47,47,39,39,42,95,97,0,0,8875,1020,0,688,213,902,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,101,0,0,0
