Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
11002,2468,1014,63,37,9999,0,1499,0,3783,5670,5,4,1478,525,1555,1,0,1,56,72,51,0,53,4,0,0,1440,1584,18102,884,0,45,26,35,22,33,39,45,39,14,91,0,0,9000,1136,0,823,168,991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
12001,2468,1014,63,37,9999,0,1612,0,3783,6098,5,4,1478,525,2000,1,0,1,56,72,52,0,11,23,0,0,1440,1584,16732,896,0,47,38,28,30,21,45,47,42,14,94,0,0,9000,1136,0,823,168,991,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
13001,2468,1014,63,37,9999,0,1574,0,3783,5954,5,4,1478,525,2000,1,0,1,51,72,49,0,1,23,0,0,1440,1584,15081,869,0,52,30,33,30,31,50,47,52,19,97,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
14002,2468,1014,63,37,9999,0,1373,0,3783,5194,3,4,1670,525,2000,1,0,1,64,72,48,0,4,13,0,0,1440,1584,13741,883,0,63,35,30,30,33,63,55,61,19,96,0,0,9000,1136,0,823,168,991,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
15002,2468,1014,63,37,9999,0,1475,0,3799,5603,3,4,1382,525,2000,1,0,1,69,72,47,0,11,3,0,0,1440,1584,19456,856,0,39,26,21,25,26,38,39,35,14,85,0,0,9000,1136,0,823,168,991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
16001,2468,1014,63,37,9999,0,1487,0,3799,5649,5,4,1382,525,2000,1,0,1,62,72,53,0,33,18,0,0,1440,1584,18501,880,0,42,35,25,28,30,39,42,39,14,98,0,0,9000,1136,0,823,168,991,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
17001,2468,1014,63,37,9999,0,1511,0,3799,5740,5,4,1478,525,2000,1,0,1,51,72,50,0,0,25,0,0,1440,1584,15812,890,0,56,36,28,30,33,50,47,56,10,94,0,0,9000,1136,0,823,168,991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
18002,2468,1014,63,37,9999,0,1502,0,3799,5706,5,4,1862,525,2000,1,0,1,55,72,48,0,13,16,0,0,1440,1584,13813,867,0,56,31,23,30,38,50,56,47,14,94,0,0,9000,1136,0,823,168,991,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
19024,2625,900,63,37,9999,0,1522,0,3784,5759,5,4,1574,525,2000,1,0,1,68,72,52,0,39,10,0,0,1440,1584,15697,880,0,57,36,35,40,35,52,57,50,19,96,0,0,8887,1022,0,708,168,877,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
20002,2625,900,62,37,9999,0,1312,0,3784,4964,5,4,1766,525,2000,1,0,1,59,72,48,0,3,13,0,0,1440,1584,12559,885,0,61,35,39,31,38,61,59,57,19,97,0,0,8887,1022,0,708,168,877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
