Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
11001,2530,1003,53,37,9999,0,1561,0,3692,5763,5,4,1670,525,2000,1,0,1,65,72,51,0,43,6,0,0,1440,1584,16765,2422,313,42,57,52,50,100,42,42,35,94,94,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,101,0,0,0
12001,2530,1003,53,37,9999,0,1606,0,3693,5930,5,4,1478,525,2000,1,0,1,53,72,52,0,4,27,0,0,1440,1584,16967,2458,317,45,60,80,55,83,45,45,36,89,87,0,0,8954,1116,0,798,181,979,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,101,0,0,0
13001,2530,1003,53,37,9999,0,1517,0,3693,5602,5,4,1670,525,2000,1,0,1,44,72,51,0,0,30,0,0,1440,1584,13831,2416,315,50,52,50,52,47,39,50,36,95,94,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,101,0,0,0
14001,2530,1003,53,37,9999,0,1493,0,3693,5513,5,4,1574,525,2000,1,0,1,50,72,51,0,0,26,0,0,1440,1584,17600,2440,324,43,39,42,52,42,23,31,43,95,85,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,101,0,0,0
15001,2530,1003,53,37,9999,0,1658,0,3692,6121,5,4,1574,525,2000,1,0,1,46,72,50,0,3,30,0,0,1440,1584,8210,2336,315,63,55,44,50,47,59,57,63,95,93,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,101,0,0,0
16001,2530,1003,53,37,9999,0,1529,0,3692,5645,5,4,1478,525,2000,1,0,1,65,72,51,0,30,14,0,0,1440,1584,16806,2474,311,39,42,42,52,39,39,30,36,100,88,0,0,8954,1116,0,798,181,979,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,101,0,0,0
17001,2530,1003,53,37,9999,0,1475,0,3692,5445,5,4,1478,525,2000,1,0,1,43,72,51,0,0,33,0,0,1440,1584,20674,2501,325,40,54,50,47,50,27,39,40,94,89,0,0,8954,1116,0,798,181,979,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,101,0,0,0
18001,2530,1003,53,37,9999,0,1549,0,3692,5718,5,4,1478,525,2000,1,0,1,38,72,53,0,0,34,0,0,1440,1584,11569,2363,320,55,47,42,47,52,55,50,52,94,98,0,0,8954,1116,0,798,181,979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,101,0,0,0
19030,2651,899,53,37,9999,0,1556,0,3701,5758,5,4,1478,525,2000,1,0,1,55,72,49,0,3,25,0,0,1440,1584,19921,2500,324,39,42,47,47,47,38,39,38,95,86,0,0,8850,1013,0,694,181,875,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,101,0,0,0
20001,2651,899,53,37,9999,0,1436,0,3701,5314,5,4,1478,525,2000,1,0,1,36,72,53,0,0,36,0,0,1440,1584,15105,2444,324,47,42,39,36,52,38,26,47,90,87,0,0,8850,1013,0,694,181,875,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,101,0,0,0
