Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
11001,2525,1074,100,35,9999,0,325,0,4355,1415,5,4,1478,525,2000,1,0,1,71,72,55,0,0,22,0,0,1440,1584,19774,840,0,40,28,28,25,21,40,36,39,14,99,0,0,8855,1227,0,883,170,1054,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
12001,2525,1074,100,35,9999,0,377,0,4355,1641,5,4,1478,525,2000,1,0,1,52,72,63,0,10,22,0,0,1440,1584,19114,864,0,44,22,26,28,22,38,44,38,14,95,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
13001,2525,1074,100,35,9999,0,399,0,4340,1731,5,4,1478,525,2000,1,0,1,48,72,50,0,0,23,0,0,1440,1584,13977,833,0,56,39,21,23,23,56,44,52,14,97,0,0,8855,1227,0,883,170,1054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
14001,2525,1074,100,35,9999,0,163,0,4340,707,5,4,1862,525,2000,1,0,1,59,72,49,0,2,11,0,0,1440,1584,17576,841,0,47,31,31,30,26,40,45,47,23,93,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
15001,2525,1074,100,35,9999,0,146,0,4358,636,5,4,1862,525,2000,1,0,1,57,72,47,0,1,22,0,0,1440,1584,11614,802,0,57,35,33,22,25,57,52,57,18,99,0,0,8855,1227,0,883,170,1054,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
16001,2525,1074,100,35,9999,0,227,0,4358,989,5,4,1478,525,2000,1,0,1,68,72,48,1,2,13,0,0,1440,1584,15419,843,0,50,22,21,25,23,44,42,50,19,98,0,0,8855,1227,0,883,170,1054,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
17002,2525,1074,100,35,9999,0,85,0,4358,370,5,4,1478,525,2000,1,0,1,55,72,49,0,1,18,0,0,1440,1584,13848,854,0,55,22,19,19,21,55,42,55,14,99,0,0,8855,1227,0,883,170,1054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
18001,2525,1074,100,35,9999,0,333,0,4356,1450,5,4,1478,525,2000,1,0,1,63,72,48,0,2,15,0,0,1440,1584,17135,860,0,50,44,47,38,71,39,50,50,19,98,0,0,8855,1227,0,883,170,1054,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
19022,2680,934,100,35,9999,0,152,0,4356,662,5,4,1670,525,2000,1,0,1,55,72,49,0,2,19,0,0,1440,1584,15689,861,0,52,17,19,21,31,52,47,45,18,98,0,0,8642,1087,0,743,171,914,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
20002,2680,934,100,35,9999,0,273,0,4356,1189,5,4,1478,525,2000,1,0,1,56,72,48,0,1,17,0,0,1440,1584,12772,860,0,61,22,11,19,23,61,47,57,14,98,0,0,8642,1087,0,743,171,914,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0
